"","FID","WRENAME","SYSTEMTYPE","WATERRESID","WRLINK","STATE","COUNTY","BASIN","SUBAREA","SUBAREANAM","TotalGPCD","TotPotaGPCD","ResPotGPCD","ComPotGPCD","InsPotGPCD","IndPotGPCD","TotSecGPCD","ResSecGPCD","ComSecGPCD","InsSecGPCD","IndSecGPCD","TotalUse","TotPotaUse","ResPotaUse","ComPotaUse","InsPotaUse","IndPotaUse","TotSecoUse","ResSecoUse","ComSecoUse","InsSecoUse","IndSecoUse","TotalSup","WellsSup","SpringsSup","SurfaceSup","SHAPE_Length","SHAPE_Area","year","Population","TotGPCDBin","Row","NameUse","Blank"
"11",273,"Echo Mutual Water System","C",1072,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1233","Utah","Summit","Weber River","2/1/2004","Echo",55,55,48,7,0,0,0,0,0,0,0,4.3,4.3,3.7,0.6,0,0,0,0,0,0,0,29.1,0,29.1,0,7431.689166,2490253.525,2018,69.7962291407223,"1",11,"",""
"12",226,"Cedar Hills Town Water System","C",1412,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1404","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",59,59,47,2,9,0,0,0,0,0,0,686.6,686.6,547.8,28.6,110.3,0,0,0,0,0,0,118.7,118.7,0,0,23137.24262,7054569.496,2018,10389.1013048526,"1",12,"",""
"13",229,"Highland City","C",1305,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10888","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",59,59,54,3,1,0,0,0,0,0,0,1241.4,1241.4,1143.7,66.8,28.4,2.5,0,0,0,0,0,3631.8,3631.8,0,0,34879.25037,22354463.29,2018,18783.9067285814,"1",13,"",""
"14",164,"Castle Valley SSD - Elmo Town","C",381,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11482","Utah","Emery","West Colorado River","8/1/2003","Price River",63,63,55,3,5,0,0,0,0,0,0,26.1,26.1,22.8,1.2,2.2,0,0,0,0,0,0,484.2,0,484.2,0,8253.416174,1842376.457,2018,369.850450097847,"1",14,"",""
"15",420,"Turn About Ranch","C",2454,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11460","Utah","Garfield","West Colorado River","8/4/2002","Escalante River",65,62,62,0,0,0,3,0,0,0,0,2.2,2.1,2.1,0,0,0,0.1,0,0,0,0,28,28,0,0,1267.704822,51833.3473,2018,30.2158988408851,"1",15,"",""
"16",1,"Irontown","C",564,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358","Utah","Iron","Cedar/Beaver","6/3/2001","Escalante Desert",66,66,66,0,0,0,0,0,0,0,0,4.1,4.1,4.1,0,0,0,0,0,0,0,0,115.8,115.8,0,0,5567.248025,656517.8179,2018,55.4582440846824,"1",16,"",""
"17",304,"Nordic Mountain Water Co.","C",1644,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1318","Utah","Weber","Weber River","2/1/2008","Ogden Valley",69,69,68,1,0,0,0,0,0,0,0,57.1,57.1,56.4,0.7,0,0,0,0,0,0,0,217,217,0,0,26298.93492,11307096.18,2018,738.776736152472,"1",17,"",""
"18",124,"Castle Valley SSD - Clawson Water System","C",353,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1026","Utah","Emery","West Colorado River","8/2/2003","Ferron Creek",70,70,68,0,0,2,0,0,0,0,0,14.1,14.1,13.7,0,0,0.4,0,0,0,0,0,403.5,0,0,403.5,13556.96443,3104020.464,2018,179.823839530333,"1",18,"",""
"19",459,"M & J Trailer Home Community","C",2627,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11548","Utah","Box Elder","Bear River","1/1/2006","Tremonton",70,70,70,0,0,0,0,0,0,0,0,2.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,526.536941,14292.5764,2018,30.608313111546,"1",19,"",""
"20",219,"Tabiona Town Water System","C",298,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1189","Utah","Duchesne","Uintah","7/3/2007","Tabiona",71,71,58,1,12,0,0,0,0,0,0,25.4,25.4,20.9,0.2,4.3,0,0,0,0,0,0,71,0,71,0,2869.761108,270844.4983,2018,319.375473663901,"1",20,"Tabiona Town Water System",""
"21",88,"Day Star Adventist Academy","C",481,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11388","Utah","Grand","Southeast Colorado River","9/1/2003","Colorado River/Castle Valley",76,76,76,0,0,0,0,0,0,0,0,3.9,3.9,3.9,0,0,0,0,0,0,0,0,24.2,24.2,0,0,3605.430525,221299.0828,2018,45.8117844268205,"1",21,"",""
"22",42,"Henrieville Town Water System","C",393,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1062","Utah","Garfield","Southeast Colorado River","9/5/2000","Paria River",77,77,77,0,0,0,0,0,0,0,0,20.6,20.6,20.5,0,0.1,0,0,0,0,0,0,74.3,58.1,16.1,0,8867.037986,3458916.184,2018,238.837594734033,"1",22,"",""
"23",349,"Interlaken Mutual Water Co.","C",1482,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1919","Utah","Wasatch","Utah Lake","4/1/2007","Provo River Reservoirs",78,78,78,0,0,0,0,0,0,0,0,22.8,22.8,22.8,0,0,0,0,0,0,0,0,201.8,201.8,0,0,4576.701826,611420.113,2018,260.955489989463,"1",23,"",""
"24",424,"Lake Rockport Estates","C",1156,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11055","Utah","Summit","Weber River","2/1/2002","Kamas Valley",81,81,81,0,0,0,0,0,0,0,0,13.7,13.7,13.7,0,0,0,0,0,0,0,0,48.4,48.4,0,0,10439.38424,3114175.527,2018,150.99471334348,"1",24,"",""
"25",362,"Vernon Waterworks SSD","C",1193,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1128","Utah","Tooele","West Desert","00-05-01","Rush Valley",82,82,80,2,0,0,0,0,0,0,0,24,24,23.3,0.6,0.1,0,0,0,0,0,0,44.4,44.4,0,0,24145.54172,21455519.29,2018,261.29047778149,"1",25,"",""
"26",371,"Timber Lakes Water SSD","C",1484,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1406","Utah","Wasatch","Utah Lake","4/1/2007","Provo River Reservoirs",84,84,84,0,0,0,0,0,0,0,0,57.7,57.7,57.5,0,0.1,0,0,0,0,0,0,192,0,192,0,24592.85304,30094268.42,2018,613.229050880626,"1",26,"",""
"27",200,"Rocky Ridge Town Water System","C",598,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1432","Utah","Juab","Utah Lake","4/1/2002","Nephi",85,85,80,2,3,0,0,0,0,0,0,80.8,80.8,76.4,1.6,2.8,0,0,0,0,0,0,124,124,0,0,12772.76929,4386111.774,2018,848.630485092667,"1",27,"",""
"28",309,"Hot Springs Trailer Court","C",75,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11343","Utah","Box Elder","Weber River","2/1/2009","East Shore",88,88,88,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,24.2,24.2,0,0,694.4514176,29114.70035,2018,111.592808219178,"1",28,"",""
"29",393,"Pine Meadow Mutual Water","C",1135,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11181","Utah","Summit","Weber River","2/1/2002","Kamas Valley",91,91,91,0,0,0,0,0,0,0,0,18.4,18.4,18.4,0,0,0,0,0,0,0,0,59.7,59.7,0,0,18813.60991,5554663.291,2018,180.510564503989,"1",29,"",""
"30",114,"Silver Fork Pipeline Corp.","C",809,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1374","Utah","Salt Lake","Jordan River","3/1/2006","Big Cottonwood Creek",92,92,90,1,0,0,0,0,0,0,0,30.9,30.9,30.4,0.5,0,0,0,0,0,0,0,62,62,0,0,4187.2,849066.88,2018,299.845023823705,"1",30,"Silver Fork Pipeline Corp.",""
"31",365,"Lincoln Culinary Water Association","C",1195,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1162","Utah","Tooele","West Desert","00-05-02","Tooele Valley",92,85,76,0,9,0,7,0,0,0,0,89.8,82.9,74.4,0,8.5,0,6.8,0,0,0,0,126.1,44.4,81.8,0,11470.83201,4149360.705,2018,871.394276354973,"1",31,"",""
"32",449,"Pine Meadows PUD","C",2620,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11476","Utah","Uintah","Uintah","7/2/2003","Vernal",92,92,92,0,0,0,0,0,0,0,0,25.9,25.9,25.9,0,0,0,0,0,0,0,0,25.8,0,0,25.8,1320.818949,45827.3814,2018,251.326411554497,"1",32,"",""
"33",439,"South Willard Water Co.","C",54,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1238","Utah","Box Elder","Weber River","2/1/2009","East Shore",94,94,87,0,6,0,0,0,0,0,0,140,140,130,0.4,9.7,0,0,0,0,0,0,638.5,490.7,147.8,0,17648.75688,6910777.027,2018,1329.61643835616,"1",33,"",""
"34",202,"Eureka Town","C",585,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1036","Utah","Juab","Sevier River","5/2/2001","Levan",96,87,77,2,9,0,8,0,0,0,0,87.9,80.2,70.5,1.7,8,0,7.8,0,0,0,0,469.4,469.4,0,0,27824.04367,8501451.509,2018,817.41732020548,"1",34,"",""
"35",406,"Central Iron County WCD","C",579,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047","Utah","Iron","Cedar/Beaver","6/2/2002","Cedar",101,99,84,2,10,3,2,0,0,0,0,451.1,440.6,377.3,8.2,43.4,11.8,10.4,0,0,0,0,1412.2,1412.2,0,0,109803.5039,109005688.7,2018,3987.28837922148,"1",35,"",""
"36",438,"Vineyard City","C",2528,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11295","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",101,85,77,3,4,0,16,0,0,0,0,1585.4,1327.1,1215.1,41.6,66.5,3.9,258.3,0,0,0,0,0,0,0,0,23706.73486,16539407.96,2018,14013.4050020345,"1",36,"",""
"37",352,"Country Estates Mobile Home Park","C",1487,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11309","Utah","Wasatch","Utah Lake","4/1/2007","Provo River Reservoirs",102,102,102,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,32.3,32.3,0,0,916.9072339,47990.69005,2018,210.057050765512,"1",37,"",""
"38",379,"High Valley Water Co.","C",1090,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1370","Utah","Summit","Weber River","2/1/2006","East Canyon",102,102,102,0,0,0,0,0,0,0,0,93.5,93.5,93.5,0,0,0,0,0,0,0,0,453,453,0,0,5032.234402,1326826.286,2018,818.347260273973,"1",38,"",""
"39",447,"West Haven SSD","C",2544,"http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11296","Utah","Weber","Weber River","2/1/2009","East Shore",102,67,67,0,0,0,35,0,0,0,0,228.2,150.2,150.1,0,0,0,78.1,0,0,0,0,0,0,0,0,4213.74519,591921.59,2018,1997.29245769541,"1",39,"",""
"40",370,"South Duchesne Culinary Water","C",2398,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11349","Utah","Duchesne","Uintah","7/3/2013","Roosevelt Duchesne",105,105,105,0,0,0,0,0,0,0,0,62.2,62.2,62.2,0,0,0,0,0,0,0,0,726.4,0,0,726.4,20040.35429,16044602.59,2018,528.843632093933,"1",40,"South Duchesne Culinary Water",""
"41",158,"BRWCD - Beaver Dam","C",36,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11305","Utah","Box Elder","Bear River","1/1/2006","Tremonton",106,106,96,0,11,0,0,0,0,0,0,13.1,13.1,11.8,0,1.3,0,0,0,0,0,0,163,0,66.2,96.8,11172.90731,880403.355,2018,110.32949340915,"1",41,"",""
"42",172,"Wellington City","C",191,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1132","Utah","Carbon","West Colorado River","8/1/2003","Price River",107,107,84,6,14,3,0,0,0,0,0,192.5,192.5,151,11.5,25.4,4.6,0,0,0,0,0,0,0,0,0,44749.45723,12921213.69,2018,1606.10209960312,"1",42,"",""
"43",432,"Rockland Ranch","C",2513,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11286","Utah","San Juan","Southeast Colorado River","9/1/2005","Cane Spring",108,108,108,0,0,0,0,0,0,0,0,14.5,14.5,14.5,0,0,0,0,0,0,0,0,25.9,25.9,0,0,2390.252459,163440.3359,2018,119.858942161339,"1",43,"",""
"44",195,"Utah State Hospital","C",1376,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11579","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",110,104,0,0,104,0,6,0,0,0,0,160.6,152,0,0,152,0,8.6,0,0,0,0,1253.7,363.2,890.5,0,2912.113875,447005.81,2018,1303.404,"1",44,"",""
"45",416,"Glen Canyon N.R.A. - Dangling Rope","C",955,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1350","Utah","Kane","Southeast Colorado River","9/3/2002","Lake Powell",110,110,27,75,7,0,0,0,0,0,0,2.5,2.5,0.6,1.7,0.2,0,0,0,0,0,0,26,25.7,0,0,1448.2934,118033.6869,2018,20.289601494396,"1",45,"",""
"46",429,"Vivian Park Homeowners","C",1379,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1375","Utah","Utah","Utah Lake","4/1/2009","Vivian Park",112,112,112,0,0,0,0,0,0,0,0,30.6,30.6,30.6,0,0,0,0,0,0,0,0,34.6,0,34.6,0,1787.937874,110157.7001,2018,243.909995107632,"1",46,"",""
"47",7,"Church Wells SSD","C",605,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920","Utah","Kane","Southeast Colorado River","9/4/2000","Wahweep Creek",116,116,81,13,0,22,0,0,0,0,0,32,32,22.4,3.6,0,6,0,0,0,0,0,221.9,221.9,0,0,6538.014469,2656826.63,2018,246.273783656117,"1",47,"",""
"48",76,"Capitol Reef National Park","C",1613,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1354","Utah","Wayne","West Colorado River","8/3/2007","Torrey",116,116,116,0,0,0,0,0,0,0,0,5.9,5.9,5.9,0,0,0,0,0,0,0,0,15,15,0,0,3835.227515,416073.075,2018,45.4067288615966,"1",48,"",""
"49",436,"Bumblebee Water System","C",2508,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11383","Utah","Iron","Cedar/Beaver","6/2/2002","Cedar",116,116,116,0,0,0,0,0,0,0,0,12.4,12.4,12.4,0,0,0,0,0,0,0,0,73,73,0,0,7194.541385,2298129.607,2018,95.4310911667454,"1",49,"",""
"50",295,"Highland Subdivision (Morgan)","C",713,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1118","Utah","Morgan","Weber River","2/1/2007","Morgan",117,117,100,8,9,0,0,0,0,0,0,165.2,165.2,140.8,11.8,12.6,0,0,0,0,0,0,287,0,287,0,20148.74346,14609606.94,2018,1260.5218405339,"1",50,"Highland Subdivision (Morgan)",""
"51",404,"Green Hills Country Estates","C",1683,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1449","Utah","Weber","Weber River","2/1/2008","Ogden Valley",118,118,118,0,0,0,0,0,0,0,0,25.6,25.6,25.6,0,0,0,0,0,0,0,0,110,110,0,0,17210.49293,9802870.5,2018,193.679721383794,"1",51,"",""
"52",290,"Sunset City Water System","C",271,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1041","Utah","Davis","Weber River","2/1/2009","East Shore",119,119,102,4,13,0,0,0,0,0,0,790.5,790.5,679.2,25.7,85.6,0,0,0,0,0,0,0,0,0,0,8697.166717,3815875.023,2018,5930.36066536204,"1",52,"",""
"53",36,"Glen Canyon N.R.A. - Halls Crossing Marina","C",2265,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1323","Utah","San Juan","West Colorado River","9/3/2002","Lake Powell",121,121,66,0,55,0,0,0,0,0,0,19,19,10.3,0,8.7,0,0,0,0,0,0,211.5,211.5,0,0,10259.54493,6394362.895,2018,140.182701234009,"1",53,"",""
"54",92,"Annabella Town Water System","C",1024,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1063","Utah","Sevier","Sevier River","5/4/2002","Richfield",121,121,110,0,0,11,0,0,0,0,0,115,115,104.5,0,0.1,10.5,0,0,0,0,0,782.2,428.7,353.5,0,13350.0682,2101483.416,2018,848.474244311106,"1",54,"",""
"55",240,"Hi-Country Number 2","C",882,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1316","Utah","Salt Lake","Jordan River","3/1/2001","Salt Lake Valley",121,121,121,0,0,0,0,0,0,0,0,91,91,91,0,0,0,0,0,0,0,0,53,53,0,0,15673.60772,9395311.609,2018,671.401358541832,"1",55,"",""
"56",252,"South Salt Lake City Water System","C",811,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1339","Utah","Salt Lake","Jordan River","3/1/2001","Salt Lake Valley",121,121,53,36,17,15,0,0,0,0,0,1715.6,1715.6,758,508.3,236,213.3,0,0,0,0,0,3157,3157,0,0,17609.00879,9502516.718,2018,12657.7601177403,"1",56,"",""
"57",259,"Bridge Hollow Water Association","C",1167,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11274","Utah","Summit","Weber River","2/1/2002","Kamas Valley",121,121,121,0,0,0,0,0,0,0,0,9.5,9.5,9.5,0,0,0,0,0,0,0,0,42,42,0,0,9111.211396,5068680.8,2018,70.0913506170044,"1",57,"",""
"58",279,"Morgan City Water System","C",716,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1170","Utah","Morgan","Weber River","2/1/2007","Morgan",121,109,65,28,6,10,12,0,0,0,0,552.8,497.2,298.8,129.2,25.4,43.8,55.6,0,0,0,0,1191,852,339.1,0,16034.32722,7637027.77,2018,4078.57880221895,"1",58,"",""
"59",260,"Emigration Improvement District","C",894,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999","Utah","Salt Lake","Jordan River","3/1/2003","Emigration Creek",122,122,122,0,0,0,0,0,0,0,0,124.1,124.1,123.9,0,0.2,0,0,0,0,0,0,291,291,0,0,17583.72559,6807814.599,2018,908.109344262295,"1",59,"",""
"60",314,"Perry City","C",52,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1172","Utah","Box Elder","Bear River","1/1/2007","Brigham City",122,122,95,27,0,0,0,0,0,0,0,698.2,698.2,543.2,153.4,1.5,0,0,0,0,0,0,1452.7,1372,80.7,0,25578.20768,20674938.97,2018,5109.12122613968,"1",60,"Perry City",""
"61",381,"Hi-Country Estates #1","C",897,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1419","Utah","Salt Lake","Jordan River","3/1/2001","Salt Lake Valley",124,124,124,0,0,0,0,0,0,0,0,65.1,65.1,65.1,0,0,0,0,0,0,0,0,81,81,0,0,11334.53685,3557948.411,2018,468.689794520548,"1",61,"",""
"62",245,"Salt Lake County Service Area No 3 - Snowbird","C",810,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11244","Utah","Salt Lake","Jordan River","3/1/2007","Little Cottonwood Creek",125,125,2,47,0,76,0,0,0,0,0,505.1,505.1,8.2,189.8,0,307.1,0,0,0,0,0,560,0,560,0,13966.33822,8693233.313,2018,3607.39375561644,"1",62,"",""
"63",442,"Gorgoza Mutual Water Co.","C",1098,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1368","Utah","Summit","Weber River","2/1/2006","East Canyon",125,125,107,7,10,0,0,0,0,0,0,589.9,589.9,507.7,33.9,48.4,0,0,0,0,0,0,2405,2243.6,161.4,0,13060.69178,6751714.83,2018,4213.03024438356,"1",63,"",""
"64",185,"Covered Bridge Canyon HOA","C",1315,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1029","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",129,129,129,0,0,0,0,0,0,0,0,41.3,41.3,41.3,0,0,0,0,0,0,0,0,62,62,0,0,7675.286437,2074912.905,2018,285.815998725709,"1",64,"",""
"65",435,"Cottonwood Coves, Inc.","C",2514,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11336","Utah","Salt Lake","Jordan River","3/1/2001","Salt Lake Valley",129,129,121,0,8,0,0,0,0,0,0,45,45,42.3,0,2.7,0,0,0,0,0,0,0,0,0,0,1426.542476,107161.2998,2018,311.421790379102,"1",65,"",""
"66",256,"Magna Water District","C",795,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1294","Utah","Salt Lake","Jordan River","3/1/2001","Salt Lake Valley",131,113,98,14,1,0,18,0,0,0,0,4601.4,3965,3450.7,485.3,29,0,636.4,0,0,0,0,4308.6,4308,0,0.6,28955.0821,26036558.39,2018,31357.7494802886,"1",66,"",""
