FID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
344,Benson Water Culinary District,C,163,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1427,Utah,Cache,Bear River,01-01-04,Cache Valley,430,264,162,1,9,92,166,166,0,0,0,332.61,204,125,1,7,71,128.61,128.61,0,0,0,695.23,695.23,0,0,45084.5625839864,65934289.7320614
345,Smithfield City,C,116,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1303,Utah,Cache,Bear River,01-01-04,Cache Valley,260,144,122,12,7,3,116,59,0,57,0,3330.52,1849.55,1566.42,156.39,92.66,34.08,1480.97,750.68,0,730.3,0,5488.4,1775.52,3712.88,0,28902.9623959638,22748140.5212892
346,Riverside - North Garland Water Co.,C,48,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1328,Utah,Box Elder,Bear River,01-01-06,Tremonton,478,396,362,5,4,25,81,71,0,10,0,668.86,554.86,506.94,6.69,5.74,35.48,114,100,0,14,0,614.98,614.98,0,0,41633.0016903166,36094344.0936425
347,Newton Town Water System,C,109,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1371,Utah,Cache,Bear River,01-01-04,Cache Valley,623,166,121,0,33,12,456,443,0,13,0,564.83,150.75,109.56,0.03,30.23,10.93,414.08,402.39,0,11.68,0,492.31,0,492.31,0,15525.5838474223,4658035.57982424
348,Plymouth Town,C,46,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1208,Utah,Box Elder,Bear River,01-01-06,Tremonton,210,210,161,47,1,0,0,0,0,0,0,115.12,115.12,88.57,25.78,0.77,0,0,0,0,0,0,388.2,343,45.2,0,8560.08393019023,2886147.58129565
349,Amalga Town Culinary Water System,C,98,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1069,Utah,Cache,Bear River,01-01-04,Cache Valley,1298,1179,657,0,1,522,119,119,0,0,0,799.75,726.53,404.56,0,0.45,321.51,73.22,73.22,0,0,0,1252.55,1252.55,0,0,34520.8212515761,16652040.9615734
350,Bridgerland Village Water Co.,C,756,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1271,Utah,Rich,Bear River,01-01-01,Bear Lake,300,300,300,0,0,0,0,0,0,0,0,20.18,20.18,20.18,0,0,0,0,0,0,0,0,15.3,0.46,14.84,0,23099.4733930003,12902279.2106181
351,Clarkston Town Culinary Water,C,100,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1269,Utah,Cache,Bear River,01-01-04,Cache Valley,394,290,246,0,22,22,104,104,0,0,0,313.45,230.95,195.65,0,17.67,17.64,82.5,82.5,0,0,0,1049.17,0,1049.17,0,16118.1180400481,5486943.29442019
352,Richmond City Water System,C,114,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1245,Utah,Cache,Bear River,01-01-04,Cache Valley,229,165,58,19,9,79,64,64,0,0,0,666.95,479.84,167.82,55.39,27.57,229.05,187.12,187.12,0,0,0,1501.13,532.66,968.47,0,22403.0378512619,16215863.5534307
353,Trenton Town Water System,C,117,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1097,Utah,Cache,Bear River,01-01-04,Cache Valley,389,233,139,22,1,71,157,140,0,17,0,226.81,135.47,80.71,12.53,0.78,41.45,91.35,81.32,0,10.03,0,448.37,0,448.37,0,36075.6352754341,38495243.6913721
354,Garden City,C,757,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1095,Utah,Rich,Bear River,01-01-01,Bear Lake,1590,1313,862,434,17,0,277,5,272,0,0,1157.52,956.07,627.45,315.95,12.67,0,201.45,3.38,198.07,0,0,1329.26,0,1322.46,6.8,57489.0408032107,34120324.4160459
355,Cove Waterworks,C,102,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1313,Utah,Cache,Bear River,01-01-04,Cache Valley,692,159,158,0,1,0,533,279,0,253,0,54.22,12.46,12.38,0,0.08,0,41.77,21.9,0,19.86,0,35.18,3.5,31.68,0,6792.80164550506,1103677.2636728
356,Goaslind Spring Water Works Co.,C,110,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1381,Utah,Cache,Bear River,01-01-04,Cache Valley,187,187,143,5,0,39,0,0,0,0,0,9.41,9.41,7.2,0.25,0,1.96,0,0,0,0,0,80.7,0,80.7,0,4770.99731685112,792953.552254626
357,Lewiston City,C,105,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1081,Utah,Cache,Bear River,01-01-04,Cache Valley,533,397,186,6,17,188,136,123,0,13,0,1200.68,893.62,419.35,12.53,39.22,422.53,307.06,277,0,30.06,0,1633.36,807.06,826.3,0,69036.2628438835,119448446.655778
358,High Creek Water Co.,C,152,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1066,Utah,Cache,Bear River,01-01-04,Cache Valley,495,472,459,0,0,13,23,23,0,0,0,77.6,74,72,0,0,2,3.6,3.6,0,0,0,132,0,132,0,15230.7434668845,5264038.19011195
359,Cornish Town Water System,C,101,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1341,Utah,Cache,Bear River,01-01-04,Cache Valley,527,234,181,9,1,43,293,215,0,78,0,162.36,72.05,55.61,2.75,0.3,13.38,90.31,66.35,0,23.96,0,228.83,129.13,99.7,0,31865.2904361834,25626902.4274386
360,Portage Municipal Water System,C,45,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1300,Utah,Box Elder,Bear River,01-01-06,Tremonton,365,365,290,0,75,0,0,0,0,0,0,89.97,89.97,71.39,0,18.58,0,0,0,0,0,0,176.64,80.71,95.93,0,24909.5351360571,12080637.4363942
361,Interlaken Mutual Water Co.,C,1482,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1919,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,81,81,81,0,0,0,0,0,0,0,0,23.71,23.71,23.71,0,0,0,0,0,0,0,0,201.76,201.76,0,0,6026.56035962758,1060608.73517691
362,Swiss Alpine Water Co.,C,1477,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11294,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,65,65,65,0,0,0,0,0,0,0,0,21.78,21.78,21.78,0,0,0,0,0,0,0,0,31.2,0,31.2,0,8237.23050018798,1775928.01207128
363,Midway City Water System,C,1446,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1215,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,421,178,157,17,0,4,243,243,0,0,0,2765.61,1170.88,1033.04,113.04,1.56,23.25,1594.73,1594.73,0,0,0,2456.68,121.06,2335.62,0,40167.5426454998,34697930.0361452
364,Country Estates Mobile Home Park,C,1487,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11309,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,97,97,97,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,32.28,32.28,0,0,1205.6396228684,83080.1048676575
365,Snowville Town,C,53,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1008,Utah,Box Elder,West Desert,00-01-03,Curlew Valley,524,524,370,92,61,0,0,0,0,0,0,105.62,105.62,74.69,18.55,12.38,0,0,0,0,0,0,129.13,129.13,0,0,15034.3777412784,8321381.94609257
366,East Grouse Creek Pipeline Co.,C,43,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10976,Utah,Box Elder,West Desert,00-01-01,Grouse Creek,2141,2141,1380,48,286,428,0,0,0,0,0,71.96,71.96,46.37,1.6,9.59,14.39,0,0,0,0,0,92.27,24.48,67.79,0,13470.4322226191,2825694.22209299
367,Ophir Canyon Water Association,C,1192,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1326,Utah,Tooele,West Desert,00-05-01,Rush Valley,301,301,301,0,0,0,0,0,0,0,0,20.24,20.24,20.24,0,0,0,0,0,0,0,0,57.79,41.65,16.14,0,4522.70496504023,382548.54391336
368,West Erda Improvement District,C,2215,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1222,Utah,Tooele,West Desert,00-05-02,Tooele Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,40.1,0,0,3555.52039824997,614491.710494638
369,Dugway - English Village,C,1228,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1235,Utah,Tooele,West Desert,00-04-00,Skull Valley,1720,1237,867,170,68,133,483,0,0,483,0,855.37,615.37,431.27,84.49,33.62,65.99,240,0,0,240,0,2057.99,2057.99,0,0,8761.87418747914,4349833.63126242
370,Grantsville City,C,1189,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1077,Utah,Tooele,West Desert,00-05-02,Tooele Valley,354,133,90,37,7,0,221,221,0,0,0,4231.33,1590.86,1069.6,442.28,78.98,0,2640.47,2640.47,0,0,0,3393.67,3393.67,0,0,84293.7313952536,143581437.828447
371,Stansbury Park Improvement District,C,1190,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1244,Utah,Tooele,West Desert,00-05-02,Tooele Valley,225,204,161,6,37,0,20,0,0,20,0,2813.91,2558.31,2015.44,80.18,459.31,3.39,255.6,0,0,255.6,0,4801.99,4801.99,0,0,45672.9304939383,30084785.2365174
372,Erda Acres Water Co.,C,1227,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1423,Utah,Tooele,West Desert,00-05-02,Tooele Valley,204,204,203,0,1,0,0,0,0,0,0,212.15,212.15,211.28,0,0.87,0,0,0,0,0,0,500.24,500.24,0,0,3812.16572891337,731418.126165808
373,Stockton Town Water System,C,1196,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1049,Utah,Tooele,West Desert,00-05-01,Rush Valley,236,236,228,1,7,0,0,0,0,0,0,203.6,203.6,196.8,0.79,6.01,0,0,0,0,0,0,1129.88,484.23,645.65,0,23226.0127186188,10599054.1593523
374,"BCI-LP Holdings, L.C.",C,1218,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11472,Utah,Tooele,West Desert,00-05-02,Tooele Valley,414,414,414,0,0,0,0,0,0,0,0,15.77,15.77,15.77,0,0,0,0,0,0,0,0,15.77,0,0,15.77,1034.66425888999,47107.52481919
375,Vernon Waterworks SSD,C,1193,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1128,Utah,Tooele,West Desert,00-05-01,Rush Valley,252,167,167,0,0,0,85,85,0,0,0,70.56,46.69,46.69,0,0,0,23.87,23.87,0,0,0,44.39,44.39,0,0,31594.7966328265,36723550.3697104
376,Wendover City Water System,C,1194,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1006,Utah,Tooele,West Desert,00-02-01,North GSL Desert,222,222,57,92,33,40,0,0,0,0,0,349.33,349.33,90.28,145.12,51.57,62.35,0,0,0,0,0,4184.36,0,4184.36,0,24949.2185007645,28385310.8294121
377,Tooele City Water System,C,1191,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1232,Utah,Tooele,West Desert,00-05-02,Tooele Valley,154,151,119,17,3,12,3,3,0,0,0,5870.47,5751.69,4547.27,653.71,112.04,438.67,118.78,118.78,0,0,0,8893.76,8893.76,0,0,65802.3901052599,96036069.4404509
378,Lincoln Culinary Water Association,C,1195,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1162,Utah,Tooele,West Desert,00-05-02,Tooele Valley,169,144,130,0,14,0,26,26,0,0,0,96.78,82.18,74.09,0,8.09,0,14.6,14.6,0,0,0,126.14,44.39,81.75,0,15117.1781845838,7199864.73130142
379,Howell Town Water System,C,50,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1155,Utah,Box Elder,West Desert,00-07-02,Promontory Point,376,376,370,0,6,0,0,0,0,0,0,101.17,101.17,99.44,0,1.72,0,0,0,0,0,0,195.87,173.87,22,0,51827.2824680809,163114227.225746
380,Silver Spur Ranchos,C,1243,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11287,Utah,Tooele,West Desert,00-05-02,Tooele Valley,539,539,539,0,0,0,0,0,0,0,0,54.36,54.36,54.36,0,0,0,0,0,0,0,0,25,25,0,0,6999.71147058803,1527516.68492515
381,Hanna Water & Sewer Improvement District,C,344,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10912,Utah,Duchesne,Uintah,07-03-07,Tabiona,159,85,73,11,0,0,74,74,0,0,0,58.81,31.31,27.09,4.22,0,0,27.5,27.5,0,0,0,43.64,11.27,32.37,0,77314.9586345738,106817505.896102
382,Duchesne Water System,C,296,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1004,Utah,Duchesne,Uintah,07-03-04,Starvation Reservoir,210,95,85,7,2,1,114,111,0,4,0,575.55,261.61,234.35,19.74,5.3,2.21,313.94,303.76,0,10.18,0,7801.5,0,0,7801.5,31577.1837425368,27497466.7577106
383,South Duchesne Culinary Water,C,2398,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1004,Utah,Duchesne,Uintah,07-03-13,Roosevelt Duchesne,274,102,102,0,0,0,173,173,0,0,0,179.4,66.46,66.46,0,0,0,112.94,112.94,0,0,0,726.4,0,0,726.4,26253.0408050762,27507894.5603755
384,Timber Lakes Water SSD,C,1484,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1406,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,35,35,27,0,8,0,0,0,0,0,0,69.96,69.96,54.61,0,15.34,0,0,0,0,0,0,192,0,192,0,32350.3605074155,52110522.6328128
385,Twin Creeks SSD,C,1505,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1453,Utah,Wasatch,Utah Lake,04-01-07,Provo River Reservoirs,409,66,65,0,1,0,343,343,0,0,0,1163.57,187.15,183.55,0,3.6,0,976.42,976.42,0,0,0,247.7,0,0,247.7,68340.5350734748,99164995.710261
386,Woodland Mutual Water Co.,C,1087,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1019,Utah,Summit,Utah Lake,04-01-06,Woodland,295,295,292,2,0,0,0,0,0,0,0,89.08,89.08,88.3,0.69,0.09,0,0,0,0,0,0,97,48.5,48.5,0,23234.8844425732,6902588.31970754
387,Roy City Water System,C,1651,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1065,Utah,Weber,Weber River,02-01-09,East Shore,222,66,46,19,1,0,157,142,1,14,0,9509.93,2808.03,1982.5,800.98,24.55,0,6701.9,6067.51,25.89,608.5,0,1804,1804,0,0,47225.6725318684,35488836.0170173
388,Hooper WID,C,1641,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1067,Utah,Weber,Weber River,02-01-09,East Shore,431,99,85,1,13,0,332,327,2,4,0,8686.91,1991.29,1715.69,15.06,260.54,0,6695.62,6576.98,39.64,79.01,0,2342.6,2342.6,0,0,67634.1425720333,53912149.0207228
389,Three Points Center,C,1592,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11360,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,210,73,0,0,73,0,137,0,0,137,0,10.6,3.7,0,0,3.7,0,6.9,0,0,6.9,0,28,28,0,0,2262.62639990534,166494.656286824
390,West Warren - Warren Improvement District,C,1710,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1360,Utah,Weber,Weber River,02-01-09,East Shore,444,231,199,0,0,32,213,206,0,7,0,492.03,255.68,220.38,0,0.3,35,236.35,228.27,0,8.08,0,0,0,0,0,60770.7786974277,69037351.4314324
391,Mutton Hollow ID,C,267,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1014,Utah,Davis,Weber River,02-01-09,East Shore,517,206,205,0,1,0,311,295,0,16,0,419.7,166.96,166.46,0,0.5,0,252.74,239.83,0,12.91,0,0,0,0,0,17645.1836829416,3178306.89297426
392,High Valley Water Co.,C,1090,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1370,Utah,Summit,Weber River,02-01-06,East Canyon,103,103,103,0,0,0,0,0,0,0,0,94.26,94.26,94.26,0,0,0,0,0,0,0,0,453,453,0,0,6642.77751156299,2314117.598154
393,Spring Mountain Mutual Water Co.,C,1701,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11291,Utah,Weber,Weber River,02-01-08,Ogden Valley,920,920,877,0,15,28,0,0,0,0,0,35.04,35.04,33.4,0,0.59,1.05,0,0,0,0,0,32.6,0,32.6,0,2561.45592000657,312615.198764996
394,Hi-Country Estates #1,C,897,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1419,Utah,Salt Lake,Jordan River,03-01-01,Salt Lake Valley,117,117,117,0,0,0,0,0,0,0,0,58.91,58.91,58.91,0,0,0,0,0,0,0,0,81,81,0,0,15417.7405148253,6341867.20001695
395,Farmington City Water System,C,264,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1027,Utah,Davis,Weber River,02-01-09,East Shore,283,60,51,7,2,0,223,193,0,30,0,7439.59,1581.29,1343.51,173.82,63.96,0,5858.31,5073.43,0,784.88,0,3743,3743,0,0,40586.9815951267,45915632.6333816
396,Kaysville City Water System,C,266,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1205,Utah,Davis,Weber River,02-01-09,East Shore,313,88,75,12,2,0,224,207,1,17,0,10816.5,3050.26,2594.21,401.49,54.57,0,7766.24,7144.87,42.02,579.35,0,0,0,0,0,54896.0109723546,47522645.6632861
397,West Point City Water System,C,279,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1163,Utah,Davis,Weber River,02-01-09,East Shore,323,49,44,4,1,0,275,198,0,77,0,3002.82,453.87,408.02,33.12,10.59,2.14,2548.95,1837.71,0,711.24,0,1501.93,1501.93,0,0,23242.950253665,16694696.9115352
398,"Hooper WID (West Point, Davis Co.)",C,2416,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1067,Utah,Davis,Weber River,02-01-09,East Shore,462,99,85,1,13,0,363,363,0,0,0,9297.81,1991.29,1715.69,15.06,260.54,0,7306.52,7306.52,0,0,0,413.4,413.4,0,0,33862.627144992,24713004.1623426
399,Ogden City Water System,C,1646,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1018,Utah,Weber,Weber River,02-01-09,East Shore,189,138,73,44,9,12,51,44,0,6,0,18662.11,13618.48,7218.32,4374.08,857.45,1168.63,5043.63,4390.47,20.61,632.55,0,16714,9157.85,0,7556.15,76207.2681010505,120903219.752413
400,Pole Patch Water System,C,1723,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11315,Utah,Weber,Weber River,02-01-09,East Shore,456,456,456,0,0,0,0,0,0,0,0,40.86,40.86,40.86,0,0,0,0,0,0,0,0,0,0,0,0,5756.18455730124,1423467.10066298
401,Big Plains - Cedar Point,C,1593,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10986,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,93,93,91,3,0,0,0,0,0,0,0,27.44,27.44,26.6,0.84,0,0,0,0,0,0,0,75.86,75.86,0,0,3829.96267113881,820644.859312908
402,Paunsaugunt Cliffs SSD,C,2409,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11064,Utah,Garfield,Sevier River,05-06-02,Panguitch,148,148,146,2,0,0,0,0,0,0,0,8.26,8.26,8.17,0.09,0,0,0,0,0,0,0,48.8,48.8,0,0,8203.41745008088,3383058.24056867
403,Lizard Bench Water Assoc.,C,2422,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11124,Utah,Sevier,Sevier River,05-04-02,Richfield,194,194,194,0,0,0,0,0,0,0,0,10.88,10.88,10.88,0,0,0,0,0,0,0,0,15.8,15.8,0,0,5298.07379997603,958059.360890162
404,Kane County WCD - Duck Creek Village,C,2446,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869,Utah,Kane,Sevier River,05-06-01,Navajo Lake,34,34,31,3,0,0,0,0,0,0,0,88.52,88.52,81.2,7.32,0,0,0,0,0,0,0,877.6,877.6,0,0,52416.3211313138,24646623.5719535
405,Deep Springs Water Co.,C,1153,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11337,Utah,Summit,Weber River,02-01-02,Kamas Valley,536,536,536,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,14.6,14.6,0,0,3438.70511952077,295558.661281018
406,Pine Meadow Mutual Water,C,1135,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11181,Utah,Summit,Weber River,02-01-02,Kamas Valley,34,34,34,0,0,0,0,0,0,0,0,17.82,17.82,17.82,0,0,0,0,0,0,0,0,59.72,59.72,0,0,24869.6201704244,9712591.42399851
407,BRWCD - Tremonton (Bothwell Well),C,2226,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1439,Utah,Box Elder,Bear River,01-01-06,Tremonton,774,329,293,2,0,33,445,445,0,0,0,129.97,55.23,49.28,0.38,0,5.57,74.74,74.74,0,0,0,367.21,367.21,0,0,12659.8372304768,2732955.55338918
408,Draper City Water System (Utah County),C,2382,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1223,Utah,Utah,Jordan River,03-01-01,Salt Lake Valley,182,182,104,62,15,0,0,0,0,0,0,3674.09,3674.09,2111.95,1260.97,301.17,0,0,0,0,0,0,0,0,0,0,43209.310900442,36027420.2197287
409,Draper City Water System,C,884,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1223,Utah,Salt Lake,Jordan River,03-01-01,Salt Lake Valley,182,182,104,62,15,0,0,0,0,0,0,3674.09,3674.09,2111.95,1260.97,301.17,0,0,0,0,0,0,0,0,0,0,62720.0278457647,44652748.1287005
410,Skyline Mountain SSD,C,2470,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10891,Utah,Sanpete,Sevier River,05-01-00,Gunnison,136,136,33,103,0,0,0,0,0,0,0,61.12,61.12,15,46.11,0,0,0,0,0,0,0,205.13,175.13,30,0,42235.7694099786,9808772.76944611
411,Whispering Pines Water Co.,C,2419,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11072,Utah,Sanpete,Sevier River,05-01-00,Gunnison,38,38,37,0,1,0,0,0,0,0,0,10.7,10.7,10.36,0,0.34,0,0,0,0,0,0,70.76,70.76,0,0,12254.4709807207,8440572.37287656
412,Cottonwood Mutual,C,721,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1088,Utah,Morgan,Weber River,02-01-07,Morgan,198,98,94,1,2,0,101,101,0,0,0,536.53,264.05,253.77,3.67,6.61,0,272.48,272.48,0,0,0,569,569,0,0,16975.2799830883,10922311.308321
413,Grand Water and Sewer Agency,C,490,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1046,Utah,Grand,Southeast Colorado River,09-01-04,Moab,376,217,181,28,3,5,159,48,0,111,0,1664.13,960.5,798.92,122.64,15.48,23.47,703.63,211.97,0,491.66,0,1671.87,1671.87,0,0,42392.7305427311,34042956.9092792
414,Wanship Cottage Sites,C,1088,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1174,Utah,Summit,Weber River,02-01-02,Kamas Valley,241,144,144,0,0,0,97,97,0,0,0,16.17,9.65,9.65,0,0,0,6.52,6.52,0,0,0,10,10,0,0,2727.02695915718,111419.879350005
415,Ruby's Inn,C,398,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1910,Utah,Garfield,Sevier River,05-05-01,East Fork Sevier,781,781,0,781,0,0,0,0,0,0,0,201.28,201.28,0,201.28,0,0,0,0,0,0,0,403.53,403.53,0,0,24229.6096169068,13874724.4218853
416,Twin Oaks Local District,C,2418,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11157,Utah,Sanpete,Sevier River,05-01-00,Gunnison,214,151,99,39,12,0,63,63,0,0,0,29.9,21.14,13.93,5.48,1.73,0,8.76,8.76,0,0,0,62.14,62.14,0,0,13343.7129333755,5621188.43498808
417,South Rim Water System,C,2492,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11290,Utah,Tooele,West Desert,00-05-01,Rush Valley,181,181,176,0,5,0,0,0,0,0,0,161.59,161.59,156.96,0,4.62,0,0,0,0,0,0,470.95,470.95,0,0,31271.7451302889,34971068.413344
418,Green Hills Country Estates,C,1683,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1449,Utah,Weber,Weber River,02-01-08,Ogden Valley,109,92,92,0,0,0,17,17,0,0,0,46.36,38.97,38.97,0,0,0,7.38,7.38,0,0,0,110,110,0,0,22917.6026333501,17386640.6866132
